player_id,active_days,total_recharge,total_profit,total_bet,burn_per_day,loss_pct,first_active,last_active,vip_level,lifetime_recharge,lifetime_withdraw,pr_group
90416450,3,10000.00,-8059.00,126323.00,2686.33,80.6,2026-01-07,2026-01-19,0,0.00,0.00,PR95+_fastest
78551250,1,100.00,-2678.70,10388.50,2678.70,2678.7,2026-01-05,2026-01-05,0,0.00,0.00,PR95+_fastest
95767840,3,1000.00,-7989.94,8135.90,2663.31,799.0,2026-01-01,2026-01-07,0,0.00,0.00,PR95+_fastest
33442223,1,4000.00,-2651.75,14645.00,2651.75,66.3,2026-01-13,2026-01-13,0,0.00,0.00,PR95+_fastest
60982123,2,400.00,-5197.60,7919.00,2598.80,1299.4,2026-01-11,2026-01-12,0,0.00,0.00,PR95+_fastest
70510086,1,500.00,-2596.55,3743.71,2596.55,519.3,2026-01-21,2026-01-21,0,0.00,0.00,PR95+_fastest
60400540,6,1400.00,-15240.65,29120.65,2540.11,1088.6,2026-01-05,2026-01-26,0,0.00,0.00,PR95+_fastest
76764840,11,5000.00,-27795.87,176214.00,2526.90,555.9,2026-01-04,2026-01-27,0,0.00,0.00,PR95+_fastest
97689085,5,30100.00,-12608.95,79950.00,2521.79,41.9,2026-01-21,2026-01-27,0,0.00,0.00,PR95+_fastest
42246918,8,6700.00,-19771.50,56887.05,2471.44,295.1,2026-01-07,2026-01-27,0,0.00,0.00,PR95+_fastest
90412945,1,500.00,-2467.01,34589.50,2467.01,493.4,2026-01-17,2026-01-17,0,0.00,0.00,PR95+_fastest
67655823,4,7000.00,-9754.19,14587.21,2438.55,139.3,2026-01-09,2026-01-18,0,0.00,0.00,PR95+_fastest
93906285,1,500.00,-2438.15,3652.00,2438.15,487.6,2026-01-13,2026-01-13,0,0.00,0.00,PR95+_fastest
58061511,1,1000.00,-2432.00,3156.00,2432.00,243.2,2026-01-21,2026-01-21,0,0.00,0.00,PR95+_fastest
95952292,1,1000.00,-2416.15,3070.00,2416.15,241.6,2026-01-21,2026-01-21,0,0.00,0.00,PR95+_fastest
